"emergent"	"path"
TRUE	"1152, 425, 277, 813, 824, 821, 814"
TRUE	"1152, 425, 277, 813, 824, 825, 814"
TRUE	"1152, 425, 277, 281, 1093, 1116, 1101"
FALSE	"1153, 1154, 1101"
TRUE	"1155, 277, 281, 280, 381, 851, 385, 386, 341"
TRUE	"1155, 277, 219, 221, 78, 360"
TRUE	"1155, 277, 281, 1003, 1004, 1007, 1005, 1006, 360"
TRUE	"1155, 277, 219, 221, 78"
TRUE	"1155, 277, 281, 280, 756, 757, 758, 402"
TRUE	"1155, 277, 426, 818, 819, 814"
TRUE	"1155, 277, 426, 818, 820, 814"
TRUE	"1155, 277, 426, 818, 821, 814"
TRUE	"1155, 277, 426, 818, 825, 814"
TRUE	"1155, 277, 426, 823, 819, 814"
TRUE	"1155, 277, 426, 823, 820, 814"
TRUE	"1155, 277, 426, 823, 821, 814"
TRUE	"1155, 277, 426, 823, 825, 814"
TRUE	"1155, 277, 426, 824, 819, 814"
TRUE	"1155, 277, 426, 824, 820, 814"
TRUE	"1155, 277, 426, 824, 821, 814"
TRUE	"1155, 277, 426, 824, 825, 814"
TRUE	"1155, 277, 813, 818, 819, 814"
TRUE	"1155, 277, 813, 818, 820, 814"
TRUE	"1155, 277, 813, 818, 821, 814"
TRUE	"1155, 277, 813, 818, 825, 814"
TRUE	"1155, 277, 813, 823, 819, 814"
TRUE	"1155, 277, 813, 823, 820, 814"
TRUE	"1155, 277, 813, 823, 821, 814"
TRUE	"1155, 277, 813, 823, 825, 814"
TRUE	"1155, 277, 813, 824, 819, 814"
TRUE	"1155, 277, 813, 824, 820, 814"
TRUE	"1155, 277, 813, 824, 821, 814"
TRUE	"1155, 277, 813, 824, 825, 814"
TRUE	"1155, 277, 281, 1093, 1116, 1101"
TRUE	"1156, 277, 281, 280, 381, 851, 385, 386, 341"
TRUE	"1156, 277, 219, 221, 78, 360"
TRUE	"1156, 277, 281, 1003, 1004, 1007, 1005, 1006, 360"
TRUE	"1156, 277, 219, 221, 78"
TRUE	"1156, 277, 281, 280, 756, 757, 758, 402"
TRUE	"1156, 277, 426, 818, 819, 814"
TRUE	"1156, 277, 426, 818, 820, 814"
TRUE	"1156, 277, 426, 818, 821, 814"
TRUE	"1156, 277, 426, 818, 825, 814"
TRUE	"1156, 277, 426, 823, 819, 814"
TRUE	"1156, 277, 426, 823, 820, 814"
TRUE	"1156, 277, 426, 823, 821, 814"
TRUE	"1156, 277, 426, 823, 825, 814"
TRUE	"1156, 277, 426, 824, 819, 814"
TRUE	"1156, 277, 426, 824, 820, 814"
TRUE	"1156, 277, 426, 824, 821, 814"
TRUE	"1156, 277, 426, 824, 825, 814"
TRUE	"1156, 277, 813, 818, 819, 814"
TRUE	"1156, 277, 813, 818, 820, 814"
TRUE	"1156, 277, 813, 818, 821, 814"
TRUE	"1156, 277, 813, 818, 825, 814"
TRUE	"1156, 277, 813, 823, 819, 814"
TRUE	"1156, 277, 813, 823, 820, 814"
TRUE	"1156, 277, 813, 823, 821, 814"
TRUE	"1156, 277, 813, 823, 825, 814"
TRUE	"1156, 277, 813, 824, 819, 814"
TRUE	"1156, 277, 813, 824, 820, 814"
TRUE	"1156, 277, 813, 824, 821, 814"
TRUE	"1156, 277, 813, 824, 825, 814"
TRUE	"1156, 277, 281, 1093, 1116, 1101"
FALSE	"1656, 756, 757, 758, 402"
